step,day,hour,temperature_stress,water_stress,nutrient_stress,light_stress,ph_stress,salinity_stress,integrated_stress,stress_severity,acclimation_level,damage_level,cumulative_stress,daily_stress,step_count,last_update
489,21,8,0.0000,0.0106,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3517200.0000,57600.0000,978,2025-10-17T21:54:09.238912
490,21,9,0.0000,0.0106,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3524400.0000,64800.0000,980,2025-10-17T21:54:09.259739
491,21,10,0.0000,0.0106,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3531600.0000,72000.0000,982,2025-10-17T21:54:09.282357
492,21,11,0.0000,0.0106,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3538800.0000,79200.0000,984,2025-10-17T21:54:09.302831
493,21,12,0.0000,0.0106,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3546000.0000,86400.0000,986,2025-10-17T21:54:09.322876
494,21,13,0.0000,0.0107,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3553200.0000,93600.0000,988,2025-10-17T21:54:09.343592
495,21,14,0.0000,0.0107,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3560400.0000,100800.0000,990,2025-10-17T21:54:09.365676
496,21,15,0.0000,0.0107,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3567600.0000,108000.0000,992,2025-10-17T21:54:09.388129
497,21,16,0.0000,0.0107,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3574800.0000,115200.0000,994,2025-10-17T21:54:09.408651
498,21,17,0.0000,0.0108,0.3845,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3582000.0000,122400.0000,996,2025-10-17T21:54:09.429342
499,21,18,0.0000,0.0108,0.3845,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3589200.0000,129600.0000,998,2025-10-17T21:54:09.450584
500,21,19,0.0000,0.0109,0.3845,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3596400.0000,136800.0000,1000,2025-10-17T21:54:09.472706
501,21,20,0.0000,0.0109,0.3846,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3603600.0000,144000.0000,1002,2025-10-17T21:54:09.495533
502,21,21,0.0000,0.0109,0.3846,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3610800.0000,151200.0000,1004,2025-10-17T21:54:09.516073
503,21,22,0.0000,0.0110,0.3846,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3618000.0000,158400.0000,1006,2025-10-17T21:54:09.537860
504,21,23,0.0000,0.0110,0.3847,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3625200.0000,165600.0000,1008,2025-10-17T21:54:09.558131
505,22,0,0.0636,0.0160,0.3847,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3632400.0000,0.0000,1010,2025-10-17T21:54:09.579168
506,22,1,0.0636,0.0160,0.3847,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3639600.0000,7200.0000,1012,2025-10-17T21:54:09.599712
507,22,2,0.0636,0.0161,0.3848,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3646800.0000,14400.0000,1014,2025-10-17T21:54:09.621540
508,22,3,0.0636,0.0161,0.3848,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3654000.0000,21600.0000,1016,2025-10-17T21:54:09.643382
509,22,4,0.0636,0.0162,0.3848,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3661200.0000,28800.0000,1018,2025-10-17T21:54:09.664924
510,22,5,0.0636,0.0162,0.3849,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3668400.0000,36000.0000,1020,2025-10-17T21:54:09.688155
511,22,6,0.0636,0.0162,0.3849,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3675600.0000,43200.0000,1022,2025-10-17T21:54:09.710616
512,22,7,0.0636,0.0162,0.3849,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3682800.0000,50400.0000,1024,2025-10-17T21:54:09.733763
513,22,8,0.0636,0.0163,0.3850,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3690000.0000,57600.0000,1026,2025-10-17T21:54:09.756186
514,22,9,0.0636,0.0163,0.3850,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3697200.0000,64800.0000,1028,2025-10-17T21:54:09.778006
515,22,10,0.0636,0.0163,0.3851,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3704400.0000,72000.0000,1030,2025-10-17T21:54:09.798212
516,22,11,0.0636,0.0164,0.3851,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3711600.0000,79200.0000,1032,2025-10-17T21:54:09.818136
517,22,12,0.0636,0.0164,0.3851,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3718800.0000,86400.0000,1034,2025-10-17T21:54:09.838931
518,22,13,0.0636,0.0164,0.3852,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3726000.0000,93600.0000,1036,2025-10-17T21:54:09.858897
519,22,14,0.0636,0.0164,0.3852,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3733200.0000,100800.0000,1038,2025-10-17T21:54:09.878776
520,22,15,0.0636,0.0165,0.3852,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3740400.0000,108000.0000,1040,2025-10-17T21:54:09.899457
521,22,16,0.0636,0.0165,0.3853,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3747600.0000,115200.0000,1042,2025-10-17T21:54:09.920641
522,22,17,0.0636,0.0165,0.3853,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3754800.0000,122400.0000,1044,2025-10-17T21:54:09.944240
523,22,18,0.0636,0.0166,0.3853,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3762000.0000,129600.0000,1046,2025-10-17T21:54:09.965934
524,22,19,0.0636,0.0166,0.3854,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3769200.0000,136800.0000,1048,2025-10-17T21:54:09.986153
525,22,20,0.0636,0.0166,0.3854,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3776400.0000,144000.0000,1050,2025-10-17T21:54:10.006750
526,22,21,0.0636,0.0166,0.3854,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3783600.0000,151200.0000,1052,2025-10-17T21:54:10.027340
527,22,22,0.0636,0.0167,0.3855,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3790800.0000,158400.0000,1054,2025-10-17T21:54:10.048025
528,22,23,0.0636,0.0167,0.3855,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3798000.0000,165600.0000,1056,2025-10-17T21:54:10.070611
529,23,0,0.0000,0.0155,0.3855,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3805200.0000,0.0000,1058,2025-10-17T21:54:10.091451
530,23,1,0.0000,0.0155,0.3856,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3812400.0000,7200.0000,1060,2025-10-17T21:54:10.113209
531,23,2,0.0000,0.0155,0.3856,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3819600.0000,14400.0000,1062,2025-10-17T21:54:10.133720
532,23,3,0.0000,0.0156,0.3856,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3826800.0000,21600.0000,1064,2025-10-17T21:54:10.154217
533,23,4,0.0000,0.0156,0.3857,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3834000.0000,28800.0000,1066,2025-10-17T21:54:10.175429
534,23,5,0.0000,0.0156,0.3857,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3841200.0000,36000.0000,1068,2025-10-17T21:54:10.195406
535,23,6,0.0000,0.0156,0.3857,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3848400.0000,43200.0000,1070,2025-10-17T21:54:10.216509
536,23,7,0.0000,0.0157,0.3858,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3855600.0000,50400.0000,1072,2025-10-17T21:54:10.236927
537,23,8,0.0000,0.0157,0.3858,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3862800.0000,57600.0000,1074,2025-10-17T21:54:10.257372
538,23,9,0.0000,0.0157,0.3858,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3870000.0000,64800.0000,1076,2025-10-17T21:54:10.278014
539,23,10,0.0000,0.0157,0.3859,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3877200.0000,72000.0000,1078,2025-10-17T21:54:10.300234
540,23,11,0.0000,0.0158,0.3859,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3884400.0000,79200.0000,1080,2025-10-17T21:54:10.320839
541,23,12,0.0000,0.0158,0.3859,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3891600.0000,86400.0000,1082,2025-10-17T21:54:10.341801
542,23,13,0.0000,0.0158,0.3860,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3898800.0000,93600.0000,1084,2025-10-17T21:54:10.365172
543,23,14,0.0000,0.0158,0.3860,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3906000.0000,100800.0000,1086,2025-10-17T21:54:10.386197
544,23,15,0.0000,0.0159,0.3860,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3913200.0000,108000.0000,1088,2025-10-17T21:54:10.407833
545,23,16,0.0000,0.0159,0.3861,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3920400.0000,115200.0000,1090,2025-10-17T21:54:10.428274
546,23,17,0.0000,0.0159,0.3861,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3927600.0000,122400.0000,1092,2025-10-17T21:54:10.448781
547,23,18,0.0000,0.0159,0.3861,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3934800.0000,129600.0000,1094,2025-10-17T21:54:10.469613
548,23,19,0.0000,0.0159,0.3862,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3942000.0000,136800.0000,1096,2025-10-17T21:54:10.492036
549,23,20,0.0000,0.0160,0.3862,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3949200.0000,144000.0000,1098,2025-10-17T21:54:10.513034
550,23,21,0.0000,0.0160,0.3862,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3956400.0000,151200.0000,1100,2025-10-17T21:54:10.535531
551,23,22,0.0000,0.0161,0.3863,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3963600.0000,158400.0000,1102,2025-10-17T21:54:10.557634
552,23,23,0.0000,0.0161,0.3863,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3970800.0000,165600.0000,1104,2025-10-17T21:54:10.578829
553,24,0,0.0000,0.0138,0.3863,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3978000.0000,0.0000,1106,2025-10-17T21:54:10.599792
554,24,1,0.0000,0.0138,0.3864,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3985200.0000,7200.0000,1108,2025-10-17T21:54:10.620212
555,24,2,0.0000,0.0139,0.3864,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3992400.0000,14400.0000,1110,2025-10-17T21:54:10.640973
556,24,3,0.0000,0.0139,0.3864,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3999600.0000,21600.0000,1112,2025-10-17T21:54:10.663334
557,24,4,0.0000,0.0140,0.3865,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4006800.0000,28800.0000,1114,2025-10-17T21:54:10.684209
558,24,5,0.0000,0.0140,0.3865,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4014000.0000,36000.0000,1116,2025-10-17T21:54:10.706892
559,24,6,0.0000,0.0140,0.3865,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4021200.0000,43200.0000,1118,2025-10-17T21:54:10.727516
560,24,7,0.0000,0.0141,0.3865,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4028400.0000,50400.0000,1120,2025-10-17T21:54:10.749318
561,24,8,0.0000,0.0141,0.3866,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4035600.0000,57600.0000,1122,2025-10-17T21:54:10.769708
562,24,9,0.0000,0.0142,0.3866,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4042800.0000,64800.0000,1124,2025-10-17T21:54:10.790164
563,24,10,0.0000,0.0142,0.3866,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4050000.0000,72000.0000,1126,2025-10-17T21:54:10.810802
564,24,11,0.0000,0.0142,0.3867,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4057200.0000,79200.0000,1128,2025-10-17T21:54:10.831356
565,24,12,0.0000,0.0142,0.3867,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4064400.0000,86400.0000,1130,2025-10-17T21:54:10.851933
566,24,13,0.0000,0.0143,0.3867,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4071600.0000,93600.0000,1132,2025-10-17T21:54:10.875441
567,24,14,0.0000,0.0143,0.3868,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4078800.0000,100800.0000,1134,2025-10-17T21:54:10.895764
568,24,15,0.0000,0.0143,0.3868,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4086000.0000,108000.0000,1136,2025-10-17T21:54:10.916071
569,24,16,0.0000,0.0143,0.3868,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4093200.0000,115200.0000,1138,2025-10-17T21:54:10.937937
570,24,17,0.0000,0.0143,0.3869,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4100400.0000,122400.0000,1140,2025-10-17T21:54:10.960825
571,24,18,0.0000,0.0144,0.3869,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4107600.0000,129600.0000,1142,2025-10-17T21:54:10.981392
572,24,19,0.0000,0.0144,0.3869,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4114800.0000,136800.0000,1144,2025-10-17T21:54:11.003360
573,24,20,0.0000,0.0144,0.3870,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4122000.0000,144000.0000,1146,2025-10-17T21:54:11.023685
574,24,21,0.0000,0.0144,0.3870,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4129200.0000,151200.0000,1148,2025-10-17T21:54:11.044756
575,24,22,0.0000,0.0145,0.3870,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4136400.0000,158400.0000,1150,2025-10-17T21:54:11.067362
576,24,23,0.0000,0.0145,0.3871,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4143600.0000,165600.0000,1152,2025-10-17T21:54:11.088291
577,25,0,0.0182,0.0221,0.3871,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4150800.0000,0.0000,1154,2025-10-17T21:54:11.109483
578,25,1,0.0182,0.0221,0.3872,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4158000.0000,7200.0000,1156,2025-10-17T21:54:11.129905
579,25,2,0.0182,0.0222,0.3872,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4165200.0000,14400.0000,1158,2025-10-17T21:54:11.152192
580,25,3,0.0182,0.0222,0.3872,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4172400.0000,21600.0000,1160,2025-10-17T21:54:11.174291
581,25,4,0.0182,0.0222,0.3873,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4179600.0000,28800.0000,1162,2025-10-17T21:54:11.196236
582,25,5,0.0182,0.0223,0.3873,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4186800.0000,36000.0000,1164,2025-10-17T21:54:11.216367
583,25,6,0.0182,0.0223,0.3873,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4194000.0000,43200.0000,1166,2025-10-17T21:54:11.237090
584,25,7,0.0182,0.0223,0.3874,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4201200.0000,50400.0000,1168,2025-10-17T21:54:11.257049
585,25,8,0.0182,0.0224,0.3874,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4208400.0000,57600.0000,1170,2025-10-17T21:54:11.277635
586,25,9,0.0182,0.0224,0.3874,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4215600.0000,64800.0000,1172,2025-10-17T21:54:11.298236
587,25,10,0.0182,0.0224,0.3875,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4222800.0000,72000.0000,1174,2025-10-17T21:54:11.319069
588,25,11,0.0182,0.0225,0.3875,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4230000.0000,79200.0000,1176,2025-10-17T21:54:11.342660
589,25,12,0.0182,0.0225,0.3875,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4237200.0000,86400.0000,1178,2025-10-17T21:54:11.365323
590,25,13,0.0182,0.0225,0.3876,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4244400.0000,93600.0000,1180,2025-10-17T21:54:11.385980
591,25,14,0.0182,0.0225,0.3876,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4251600.0000,100800.0000,1182,2025-10-17T21:54:11.407943
592,25,15,0.0182,0.0226,0.3876,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4258800.0000,108000.0000,1184,2025-10-17T21:54:11.428461
593,25,16,0.0182,0.0226,0.3877,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4266000.0000,115200.0000,1186,2025-10-17T21:54:11.449170
594,25,17,0.0182,0.0226,0.3877,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4273200.0000,122400.0000,1188,2025-10-17T21:54:11.469953
595,25,18,0.0182,0.0227,0.3878,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4280400.0000,129600.0000,1190,2025-10-17T21:54:11.491992
596,25,19,0.0182,0.0227,0.3878,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4287600.0000,136800.0000,1192,2025-10-17T21:54:11.512595
597,25,20,0.0182,0.0227,0.3878,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4294800.0000,144000.0000,1194,2025-10-17T21:54:11.532710
598,25,21,0.0182,0.0228,0.3879,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4302000.0000,151200.0000,1196,2025-10-17T21:54:11.552812
599,25,22,0.0182,0.0228,0.3879,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4309200.0000,158400.0000,1198,2025-10-17T21:54:11.575191
600,25,23,0.0182,0.0228,0.3879,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4316400.0000,165600.0000,1200,2025-10-17T21:54:11.595852
601,26,0,0.0000,0.0149,0.3880,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4323600.0000,0.0000,1202,2025-10-17T21:54:11.617985
602,26,1,0.0000,0.0150,0.3880,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4330800.0000,7200.0000,1204,2025-10-17T21:54:11.637857
603,26,2,0.0000,0.0150,0.3880,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4338000.0000,14400.0000,1206,2025-10-17T21:54:11.657627
604,26,3,0.0000,0.0150,0.3880,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4345200.0000,21600.0000,1208,2025-10-17T21:54:11.677938
605,26,4,0.0000,0.0151,0.3881,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4352400.0000,28800.0000,1210,2025-10-17T21:54:11.699076
606,26,5,0.0000,0.0151,0.3881,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4359600.0000,36000.0000,1212,2025-10-17T21:54:11.719583
607,26,6,0.0000,0.0152,0.3881,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4366800.0000,43200.0000,1214,2025-10-17T21:54:11.740212
608,26,7,0.0000,0.0152,0.3882,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4374000.0000,50400.0000,1216,2025-10-17T21:54:11.762079
609,26,8,0.0000,0.0152,0.3882,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4381200.0000,57600.0000,1218,2025-10-17T21:54:11.782566
610,26,9,0.0000,0.0153,0.3882,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4388400.0000,64800.0000,1220,2025-10-17T21:54:11.803022
611,26,10,0.0000,0.0153,0.3883,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4395600.0000,72000.0000,1222,2025-10-17T21:54:11.823271
612,26,11,0.0000,0.0153,0.3883,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4402800.0000,79200.0000,1224,2025-10-17T21:54:11.843370
613,26,12,0.0000,0.0154,0.3883,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4410000.0000,86400.0000,1226,2025-10-17T21:54:11.863274
614,26,13,0.0000,0.0154,0.3883,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4417200.0000,93600.0000,1228,2025-10-17T21:54:11.883272
615,26,14,0.0000,0.0155,0.3884,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4424400.0000,100800.0000,1230,2025-10-17T21:54:11.903664
616,26,15,0.0000,0.0155,0.3884,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4431600.0000,108000.0000,1232,2025-10-17T21:54:11.924200
617,26,16,0.0000,0.0155,0.3884,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4438800.0000,115200.0000,1234,2025-10-17T21:54:11.944374
618,26,17,0.0000,0.0155,0.3885,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4446000.0000,122400.0000,1236,2025-10-17T21:54:11.964330
619,26,18,0.0000,0.0155,0.3885,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4453200.0000,129600.0000,1238,2025-10-17T21:54:11.983849
620,26,19,0.0000,0.0156,0.3885,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4460400.0000,136800.0000,1240,2025-10-17T21:54:12.003279
621,26,20,0.0000,0.0156,0.3885,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4467600.0000,144000.0000,1242,2025-10-17T21:54:12.022791
622,26,21,0.0000,0.0156,0.3886,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4474800.0000,151200.0000,1244,2025-10-17T21:54:12.042815
623,26,22,0.0000,0.0156,0.3886,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4482000.0000,158400.0000,1246,2025-10-17T21:54:12.063492
624,26,23,0.0000,0.0156,0.3886,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4489200.0000,165600.0000,1248,2025-10-17T21:54:12.082931
625,27,0,0.0727,0.0181,0.3887,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4496400.0000,0.0000,1250,2025-10-17T21:54:12.103324
626,27,1,0.0727,0.0181,0.3887,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4503600.0000,7200.0000,1252,2025-10-17T21:54:12.123336
627,27,2,0.0727,0.0181,0.3887,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4510800.0000,14400.0000,1254,2025-10-17T21:54:12.143867
628,27,3,0.0727,0.0182,0.3888,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4518000.0000,21600.0000,1256,2025-10-17T21:54:12.165986
629,27,4,0.0727,0.0182,0.3888,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4525200.0000,28800.0000,1258,2025-10-17T21:54:12.186574
630,27,5,0.0727,0.0182,0.3888,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4532400.0000,36000.0000,1260,2025-10-17T21:54:12.207208
631,27,6,0.0727,0.0182,0.3889,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4539600.0000,43200.0000,1262,2025-10-17T21:54:12.229256
632,27,7,0.0727,0.0182,0.3889,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4546800.0000,50400.0000,1264,2025-10-17T21:54:12.249321
633,27,8,0.0727,0.0183,0.3889,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4554000.0000,57600.0000,1266,2025-10-17T21:54:12.269348
634,27,9,0.0727,0.0183,0.3890,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4561200.0000,64800.0000,1268,2025-10-17T21:54:12.289056
635,27,10,0.0727,0.0183,0.3890,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4568400.0000,72000.0000,1270,2025-10-17T21:54:12.308079
636,27,11,0.0727,0.0183,0.3891,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4575600.0000,79200.0000,1272,2025-10-17T21:54:12.327067
637,27,12,0.0727,0.0184,0.3891,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4582800.0000,86400.0000,1274,2025-10-17T21:54:12.345873
638,27,13,0.0727,0.0184,0.3891,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4590000.0000,93600.0000,1276,2025-10-17T21:54:12.364789
639,27,14,0.0727,0.0184,0.3892,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4597200.0000,100800.0000,1278,2025-10-17T21:54:12.383679
640,27,15,0.0727,0.0184,0.3892,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4604400.0000,108000.0000,1280,2025-10-17T21:54:12.402686
641,27,16,0.0727,0.0185,0.3892,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4611600.0000,115200.0000,1282,2025-10-17T21:54:12.422518
642,27,17,0.0727,0.0185,0.3893,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4618800.0000,122400.0000,1284,2025-10-17T21:54:12.441364
643,27,18,0.0727,0.0185,0.3893,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4626000.0000,129600.0000,1286,2025-10-17T21:54:12.459665
644,27,19,0.0727,0.0185,0.3893,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4633200.0000,136800.0000,1288,2025-10-17T21:54:12.477121
645,27,20,0.0727,0.0186,0.3894,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4640400.0000,144000.0000,1290,2025-10-17T21:54:12.495782
646,27,21,0.0727,0.0186,0.3894,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4647600.0000,151200.0000,1292,2025-10-17T21:54:12.514362
647,27,22,0.0727,0.0186,0.3894,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4654800.0000,158400.0000,1294,2025-10-17T21:54:12.533120
648,27,23,0.0727,0.0186,0.3895,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,4662000.0000,165600.0000,1296,2025-10-17T21:54:12.552185
