step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update,respiration_simulator_total_respiration_rate,respiration_simulator_maintenance_respiration,respiration_simulator_growth_respiration,respiration_simulator_leaf_respiration,respiration_simulator_stem_respiration,respiration_simulator_root_respiration,respiration_simulator_cumulative_respiration,respiration_simulator_daily_respiration,respiration_simulator_temperature_factor,respiration_simulator_biomass_factor,respiration_simulator_step_count,respiration_simulator_last_update,biomass_allocation_simulator_total_biomass,biomass_allocation_simulator_leaf_biomass,biomass_allocation_simulator_stem_biomass,biomass_allocation_simulator_root_biomass,biomass_allocation_simulator_leaf_allocation_fraction,biomass_allocation_simulator_stem_allocation_fraction,biomass_allocation_simulator_root_allocation_fraction,biomass_allocation_simulator_allocation_efficiency,biomass_allocation_simulator_cumulative_biomass_gain,biomass_allocation_simulator_daily_biomass_gain,biomass_allocation_simulator_step_count,biomass_allocation_simulator_last_update
144,6,23,2025-09-29 05:27:27.291202,0.7612159753447572,0.8373375728792329,0.07612159753447573,0.0006213297870812781,0.7612159753447572,822109.7294458599,126057.36551709172,24.7,1.0,1.0,288,2025-09-29T05:27:27.181550,0.003187565085703557,0.001501565085703557,0.001686,0.000500521695234519,0.00040041735618761524,0.0006006260342814228,3302.247085726265,533.19576412107,1.0010433904690381,1.0,288,2025-09-29T05:27:27.223573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,283,2025-09-29T05:27:27.277236
145,7,0,2025-09-29 05:27:27.427679,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,827739.7070071244,0.0,26.3,1.0,1.0,290,2025-09-29T05:27:27.322434,0.003359498047374178,0.0016734980473741784,0.001686,0.0005578326824580594,0.00044626614596644755,0.0006693992189496713,3326.44511255131,0.0,1.1156653649161188,1.0,290,2025-09-29T05:27:27.364431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,285,2025-09-29T05:27:27.416168
146,7,1,2025-09-29 05:27:27.567697,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,833369.684568389,5629.977561264596,26.3,1.0,1.0,292,2025-09-29T05:27:27.458608,0.0033510989290219586,0.0016650989290219586,0.001686,0.0005550329763406529,0.0004440263810725223,0.0006660395716087834,3350.5898343003687,24.144721749058718,1.1100659526813057,1.0,292,2025-09-29T05:27:27.500258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,287,2025-09-29T05:27:27.554052
147,7,2,2025-09-29 05:27:27.706502,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,838999.6621296535,11259.955122529193,26.3,1.0,1.0,294,2025-09-29T05:27:27.598128,0.0033393421006144572,0.0016533421006144572,0.001686,0.0005511140335381524,0.0004408912268305219,0.0006613368402457829,3374.655598976159,48.210486424849364,1.1022280670763047,1.0,294,2025-09-29T05:27:27.640193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,289,2025-09-29T05:27:27.692679
148,7,3,2025-09-29 05:27:27.846507,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,844629.639690918,16889.932683793788,26.3,1.0,1.0,296,2025-09-29T05:27:27.736838,0.003324938917479995,0.0016389389174799951,0.001686,0.0005463129724933317,0.0004370503779946654,0.000655575566991998,3398.6221345479526,72.17702199664299,1.0926259449866633,1.0,296,2025-09-29T05:27:27.779005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,291,2025-09-29T05:27:27.832649
149,7,4,2025-09-29 05:27:27.984401,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,850259.6172521826,22519.910245058385,26.3,1.0,1.0,298,2025-09-29T05:27:27.877211,0.0033084729786726674,0.0016224729786726674,0.001686,0.0005408243262242225,0.00043265946097937805,0.000648989191469067,3422.4735915851843,96.02847903387452,1.081648652448445,1.0,298,2025-09-29T05:27:27.918900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,293,2025-09-29T05:27:27.973077
150,7,5,2025-09-29 05:27:28.122118,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,855889.5948134471,28149.887806322982,26.3,1.0,1.0,300,2025-09-29T05:27:28.014643,0.0032904199486097742,0.0016044199486097742,0.001686,0.0005348066495365914,0.00042784531962927313,0.0006417679794439097,3446.1977312002346,119.75261864892492,1.0696132990731828,1.0,300,2025-09-29T05:27:28.056225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,294,2025-09-29T05:27:28.108263
151,7,6,2025-09-29 05:27:28.259487,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,861519.5723747116,33779.865367587576,26.3,1.0,1.0,302,2025-09-29T05:27:28.152499,0.003271165432391815,0.001585165432391815,0.001686,0.0005283884774639384,0.0004227107819711507,0.0006340661729567261,3469.785245419822,143.3401328685119,1.0567769549278767,1.0,302,2025-09-29T05:27:28.194239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,296,2025-09-29T05:27:28.248243
152,7,7,2025-09-29 05:27:28.399402,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,867149.5499359762,39409.842928852166,26.3,1.0,1.0,304,2025-09-29T05:27:28.290438,0.0032546200421390338,0.0015686200421390338,0.001686,0.0005228733473796778,0.0004182986779037423,0.0006274480168556134,3493.2466460703,166.80153351898974,1.0457466947593557,1.0,304,2025-09-29T05:27:28.332254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,298,2025-09-29T05:27:28.385511
153,7,8,2025-09-29 05:27:28.539749,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,872779.5274972407,45039.820490116756,26.3,1.0,1.0,306,2025-09-29T05:27:28.430087,0.0032413449539549807,0.0015553449539549807,0.001686,0.0005184483179849936,0.0004147586543879949,0.0006221379815819923,3516.606916631288,190.16180407997834,1.036896635969987,1.0,306,2025-09-29T05:27:28.471434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,300,2025-09-29T05:27:28.525845
154,7,9,2025-09-29 05:27:28.676209,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,878409.5050585052,50669.798051381345,26.3,1.0,1.0,308,2025-09-29T05:27:28.570142,0.0032306745319105384,0.0015446745319105384,0.001686,0.0005148915106368461,0.0004119132085094769,0.0006178698127642154,3539.885936176781,213.44082362547113,1.029783021273692,1.0,308,2025-09-29T05:27:28.611813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,302,2025-09-29T05:27:28.663892
155,7,10,2025-09-29 05:27:28.814287,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,884039.4826197698,56299.775612645935,26.3,1.0,1.0,310,2025-09-29T05:27:28.707055,0.0032220851758154754,0.0015360851758154752,0.001686,0.0005120283919384917,0.00040962271355079343,0.00061443407032619,3563.099575062955,236.65446251164514,1.0240567838769834,1.0,310,2025-09-29T05:27:28.748623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,304,2025-09-29T05:27:28.802694
156,7,11,2025-09-29 05:27:28.953518,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,889669.4601810343,61929.753173910525,26.3,1.0,1.0,312,2025-09-29T05:27:28.844941,0.0032151628218024383,0.0015291628218024383,0.001686,0.0005097209406008128,0.00040777675248065027,0.0006116651287209753,3586.26053778502,259.8154252337101,1.0194418812016255,1.0,312,2025-09-29T05:27:28.886594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,306,2025-09-29T05:27:28.940850
157,7,12,2025-09-29 05:27:29.093525,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,895299.4377422988,67559.73073517512,26.3,1.0,1.0,314,2025-09-29T05:27:28.984070,0.003209578589467747,0.001523578589467747,0.001686,0.0005078595298225823,0.00040628762385806587,0.0006094314357870988,3609.379017047137,282.9339044958268,1.0157190596451644,1.0,314,2025-09-29T05:27:29.025590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,308,2025-09-29T05:27:29.079677
158,7,13,2025-09-29 05:27:29.232025,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,900929.4153035633,73189.70829643971,26.3,1.0,1.0,316,2025-09-29T05:27:29.124073,0.0032050703135548093,0.0015190703135548093,0.001686,0.0005063567711849363,0.0004050854169479491,0.0006076281254219236,3632.463205106459,306.0180925551488,1.0127135423698725,1.0,316,2025-09-29T05:27:29.165738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,310,2025-09-29T05:27:29.218114
159,7,14,2025-09-29 05:27:29.372182,0.7819413279534162,0.8601354607487579,0.07819413279534163,0.0006886802486775081,0.7819413279534162,906559.3928648279,78819.6858577043,26.3,1.0,1.0,318,2025-09-29T05:27:29.262933,0.0032014283907929554,0.0015154283907929554,0.001686,0.0005051427969309852,0.00040411423754478816,0.0006061713563171822,3655.519696034013,329.07458348270313,1.0102855938619701,1.0,318,2025-09-29T05:27:29.304880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,312,2025-09-29T05:27:29.358247
