ci_ppm,ac_rubisco_limited,aj_electron_transport_limited,anet_net_assimilation
240.95477386934672,4.9003407939724255,0.7293983699998312,0.0
245.72864321608037,4.971946298848056,0.7362005903293941,0.0
250.50251256281405,5.042239188374652,0.7428095209667265,0.0
255.27638190954772,5.11125522748103,0.7492332851837368,0.0
260.0502512562814,5.179028893471074,0.7554795573516181,0.0
264.82412060301505,5.245593433453902,0.761555593526715,0.0
269.5979899497487,5.310980918727417,0.7674682595692461,0.0
274.3718592964824,5.375222296302164,0.7732240570239801,0.0
279.14572864321605,5.438347437739411,0.7788291469679617,0.0
283.9195979899497,5.500385185465377,0.7842893720091885,0.0
288.6934673366834,5.561363396712461,0.7896102766013646,0.0
293.4673366834171,5.6213089852281435,0.7947971258232189,0.0
298.2412060301507,5.680247960882736,0.7998549227560968,0.0
303.0150753768844,5.738205467298461,0.8047884245803929,0.0
307.78894472361804,5.7952058176142085,0.8096021574996789,0.0
312.56281407035175,5.851272528492883,0.8143004305909454,0.0
317.3366834170854,5.906428352471223,0.8188873486700382,0.0
322.11055276381904,5.960695308745641,0.8233668242530263,0.0
326.88442211055275,6.014094712481553,0.8277425886867639,0.0
331.6582914572864,6.066647202728161,0.8320182025151963,0.0
336.4321608040201,6.1183727690155285,0.836197065141942,0.0
341.20603015075375,6.169290776705901,0.84028242384426,0.0
345.9798994974874,6.219419991166851,0.8442773821886372,0.0
350.7537688442211,6.268778600829636,0.8481849078938319,0.0
355.52763819095475,6.317384239192264,0.8520078401832393,0.0
360.3015075376884,6.365254005823213,0.8557488966648601,0.0
365.0753768844221,6.412404486418367,0.8594106797739078,0.0
369.84924623115575,6.45885177196054,0.8629956828101506,0.0
374.6231155778894,6.504611477028149,0.8665062955994213,0.0
379.3969849246231,6.549698757296753,0.869944809806312,0.0
384.17085427135675,6.594128326274678,0.8733134239228677,0.0
388.94472361809045,6.637914471311556,0.8766142479561052,0.0
393.7185929648241,6.681071068916371,0.879849307835353,0.0
